Category,CptNo,Range,Center,Latitude,Longitude,Species,Date,Quantity(kg)
cpt,NBD 1362,Rajpipla,Motiya,21.655316,73.862305,Terminalia chebula - હરડે,2026-04-11,12.5
cpt,BCR 644,Rajpipla,Motiya,21.584547,73.421314,Lagerstoemia parviflora - બોન્ડારા,2026-04-13,6
cpt,BCR 441,Rajpipla,Motiya,21.587256,73.411868,Lagerstoemia microcarpa - નાના બોન્ડારા,2026-04-13,5
cpt,BCR 415,Rajpipla,Motiya,21.585215,73.41846,Dalbergia latifolia - સીસમ,2026-04-07,1.2
cpt,BCR 699,Rajpipla,Motiya,21.585215,73.41846,"Flacourtia indica - ગરગુગળ, રેકલી",2026-04-07,0.7
cpt,BCR 225,Rajpipla,Motiya,21.579112,73.413413,Gmelina arborea - સેવન,2026-04-10,1.5
cpt,BCR 542,Rajpipla,Motiya,21.585173,73.415713,Dalbergia latifolia - સીસમ,2026-04-08,2
cpt,BCR 471,Rajpipla,Motiya,21.587545,73.411882,Dalbergia latifolia - સીસમ,2026-04-08,3
cpt,BCR 291,Rajpipla,Motiya,21.587336,73.411994,Petrocarpus marsupium - બીયો,2026-04-08,2.8
cpt,BCR 292,Rajpipla,Motiya,21.587837,73.412292,Holoptelia integrifolia - પલપલીયો,2026-04-08,2
cpt,BCR 249,Rajpipla,Motiya,21.584005,73.407433,Terminalia bellarica - બહેડા,2026-04-08,10
cpt,BCR 438,Rajpipla,Motiya,21.587844,73.409116,Dalbergia latifolia - સીસમ,2026-04-07,1.5
cpt,BCR 331,Rajpipla,Motiya,21.590088,73.413087,Dalbergia latifolia - સીસમ,2026-04-07,4
cpt,BCR 756,Rajpipla,Motiya,21.638889,73.354772,Thespesia populnea - પારસ પીપળો,2026-04-04,1
cpt,BCR 713,Rajpipla,Motiya,21.605222,73.310328,Thespesia populnea - પારસ પીપળો,2026-04-04,1.3
cpt,BCR 757,Rajpipla,Motiya,21.637767,73.354825,Sapindus trifoliatus - અરીઠા,2026-04-04,11
cpt,BCR 105,Rajpipla,Motiya,21.619495,73.426178,Sapindus trifoliatus - અરીઠા,2026-04-02,10.7
cpt,BCR 533,Rajpipla,Motiya,21.565945,73.4437,Sapindus trifoliatus - અરીઠા,2026-04-02,12.7
cpt,BCR 389,Rajpipla,Motiya,21.583615,73.423342,Diospyros melanoxylon - ટીમરૂ,2026-04-02,1.5
cpt,BCR 607,Rajpipla,Motiya,21.581313,73.426083,Haldina cordifolia - હલ્દુ,2026-04-02,1
cpt,BCR 663,Rajpipla,Motiya,21.57798,73.41457,Terminalia arjuna - અર્જુન સાદડ,2026-04-03,7
